timestamp,mid_price,return,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,bid_price_6,bid_vol_6,bid_price_7,bid_vol_7,bid_price_8,bid_vol_8,bid_price_9,bid_vol_9,bid_price_10,bid_vol_10,bid_price_11,bid_vol_11,bid_price_12,bid_vol_12,bid_price_13,bid_vol_13,bid_price_14,bid_vol_14,bid_price_15,bid_vol_15,bid_price_16,bid_vol_16,bid_price_17,bid_vol_17,bid_price_18,bid_vol_18,bid_price_19,bid_vol_19,bid_price_20,bid_vol_20,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,ask_price_6,ask_vol_6,ask_price_7,ask_vol_7,ask_price_8,ask_vol_8,ask_price_9,ask_vol_9,ask_price_10,ask_vol_10,ask_price_11,ask_vol_11,ask_price_12,ask_vol_12,ask_price_13,ask_vol_13,ask_price_14,ask_vol_14,ask_price_15,ask_vol_15,ask_price_16,ask_vol_16,ask_price_17,ask_vol_17,ask_price_18,ask_vol_18,ask_price_19,ask_vol_19,ask_price_20,ask_vol_20
2025-03-09 18:16:19.154725,2016.4250000000002,0.0,2016.42,6.5151,2016.41,0.0131,2016.39,0.0026,2016.38,0.0026,2016.35,0.0026,2016.34,0.0955,2016.33,0.6834,2016.28,0.1,2016.25,0.0296,2016.24,0.0052,2016.22,0.0026,2016.21,0.6834,2016.2,1.9645,2016.18,6.3937,2016.16,0.1,2016.15,0.005,2016.14,0.0038,2016.13,3.2527,2016.1,0.005,2016.09,2.4143,2016.43,58.465,2016.46,6.0086,2016.47,17.3641,2016.5,7.8562,2016.51,6.7831,2016.53,6.7526,2016.54,0.0055,2016.55,0.0026,2016.56,0.0025,2016.58,0.425,2016.6,5.2263,2016.61,0.0025,2016.62,1.2519,2016.63,0.0025,2016.65,0.0025,2016.66,0.0029,2016.67,1.3874,2016.68,0.005,2016.69,0.0025,2016.7,2.642
2025-03-09 18:16:19.253887,2016.4250000000002,0.0,2016.42,6.5135,2016.41,0.0131,2016.39,0.0026,2016.38,0.0026,2016.35,0.0026,2016.34,0.0955,2016.33,0.6834,2016.28,0.1,2016.25,0.0296,2016.24,0.0052,2016.22,0.0026,2016.21,0.6834,2016.2,1.9645,2016.18,6.3937,2016.16,0.1,2016.15,0.005,2016.14,0.0038,2016.13,3.2527,2016.1,0.005,2016.08,0.0495,2016.43,58.4699,2016.46,6.0086,2016.47,17.3667,2016.5,5.0465,2016.51,6.7805,2016.52,0.0025,2016.53,6.7526,2016.54,0.0055,2016.55,0.0026,2016.56,0.0025,2016.58,0.425,2016.6,4.8025,2016.61,0.0025,2016.62,1.2519,2016.63,0.0025,2016.65,0.0025,2016.66,0.0029,2016.67,1.3874,2016.68,0.005,2016.7,2.642
2025-03-09 18:16:19.353931,2016.395,-0.0014877815936719732,2016.39,0.0219,2016.38,0.0127,2016.35,0.0026,2016.34,0.0955,2016.33,0.6834,2016.28,0.1,2016.24,0.0052,2016.22,0.0272,2016.21,0.6809,2016.2,0.0025,2016.18,1.4761,2016.16,0.1,2016.14,0.0038,2016.1,0.005,2016.08,0.0495,2016.02,0.0123,2016.01,0.0076,2016.0,6.1422,2015.97,8.4204,2015.95,1.3936,2016.4,62.7345,2016.42,41.3714,2016.43,7.514,2016.46,0.0055,2016.47,0.0052,2016.5,5.0491,2016.51,0.0356,2016.52,0.0051,2016.53,6.7525,2016.56,4.727,2016.57,0.025,2016.58,0.4,2016.6,4.805,2016.62,1.2544,2016.63,0.0025,2016.66,0.0029,2016.67,1.3874,2016.68,0.005,2016.7,2.642,2016.71,3.3523
2025-03-09 18:16:19.454554,2016.395,0.0,2016.39,5.9809,2016.38,0.0127,2016.35,0.0026,2016.34,0.1007,2016.33,0.6834,2016.28,0.1,2016.24,0.0052,2016.22,0.0328,2016.21,0.6809,2016.2,0.0025,2016.19,0.006,2016.18,1.4761,2016.16,0.1,2016.14,0.0038,2016.1,0.005,2016.08,0.0495,2016.02,0.0123,2016.01,0.0076,2016.0,2.9733,2015.97,8.4204,2016.4,77.8341,2016.41,12.4211,2016.42,19.2601,2016.43,4.6086,2016.45,0.987,2016.46,0.0055,2016.47,0.0052,2016.5,5.5532,2016.51,0.0356,2016.52,0.0051,2016.53,6.7525,2016.55,1.6,2016.56,4.727,2016.57,0.025,2016.58,0.4,2016.6,4.805,2016.62,1.2544,2016.63,0.0025,2016.66,0.0029,2016.67,1.3874
2025-03-09 18:16:19.553937,2016.2849999999999,-0.0054552803394239385,2016.28,5.8419,2016.27,0.0133,2016.24,0.0078,2016.22,0.0108,2016.21,0.686,2016.19,0.006,2016.18,1.4761,2016.16,0.1,2016.11,0.0246,2016.1,0.005,2016.02,0.0123,2016.01,0.0076,2016.0,2.9758,2015.97,1.6704,2015.96,0.9895,2015.95,1.3961,2015.94,0.0038,2015.93,0.0052,2015.91,3.1559,2015.9,2.817,2016.29,77.2244,2016.3,3.6501,2016.33,17.3652,2016.34,7.479,2016.35,0.7345,2016.36,1.995,2016.37,23.5504,2016.39,0.852,2016.4,18.9134,2016.41,0.0051,2016.42,0.0026,2016.43,2.7602,2016.44,0.025,2016.45,0.9895,2016.5,7.3068,2016.51,0.0305,2016.52,0.0025,2016.53,6.75,2016.54,0.005,2016.55,1.6052
2025-03-09 18:16:19.654588,2016.245,-0.001983846529630663,2016.24,0.0165,2016.23,0.0109,2016.22,0.0082,2016.21,0.686,2016.19,0.006,2016.18,1.4761,2016.16,0.1,2016.1,0.005,2016.02,0.0123,2016.01,0.005,2016.0,2.1788,2015.97,1.6704,2015.96,0.9895,2015.95,1.3961,2015.94,0.0038,2015.93,0.0052,2015.91,0.005,2015.9,4.5961,2015.87,0.0077,2015.86,0.0025,2016.25,71.6819,2016.27,61.4214,2016.28,25.5622,2016.29,17.1503,2016.3,3.6471,2016.31,0.0055,2016.33,0.0052,2016.34,0.729,2016.35,0.7319,2016.36,1.729,2016.4,5.6417,2016.41,0.0025,2016.43,2.7573,2016.44,0.025,2016.45,0.9895,2016.5,7.3068,2016.51,0.0029,2016.52,0.0025,2016.53,25.0533,2016.54,0.005
2025-03-09 18:16:19.754503,2016.165,-0.0039677717737639645,2016.16,6.0592,2016.15,0.0104,2016.02,0.0123,2016.01,0.0052,2016.0,0.01,2015.97,0.6834,2015.95,1.3961,2015.94,0.0038,2015.93,0.0052,2015.91,0.005,2015.9,2.9195,2015.87,0.0077,2015.85,0.0099,2015.83,0.0248,2015.81,1.1844,2015.79,0.0026,2015.78,2.0582,2015.75,0.0025,2015.74,6.7538,2015.73,1.3936,2016.17,58.2529,2016.18,66.746,2016.19,5.7556,2016.2,2.6471,2016.21,0.0029,2016.25,2.9059,2016.27,0.0026,2016.28,0.0026,2016.29,9.1388,2016.3,3.6496,2016.31,0.0055,2016.33,0.025,2016.34,0.7408,2016.35,0.0029,2016.36,1.0025,2016.4,4.9216,2016.41,0.0025,2016.43,2.4026,2016.44,0.005,2016.45,0.987
2025-03-09 18:16:19.853931,2016.165,0.0,2016.16,4.9046,2016.15,0.0104,2016.02,0.0123,2016.0,0.01,2015.97,0.6834,2015.95,1.3936,2015.94,0.0038,2015.93,0.0052,2015.91,0.005,2015.9,0.152,2015.87,0.0077,2015.85,0.0099,2015.83,0.0248,2015.81,1.1844,2015.79,0.0026,2015.78,2.0557,2015.75,0.0025,2015.74,0.0038,2015.73,1.3936,2015.71,0.005,2016.17,92.4839,2016.18,8.6488,2016.19,1.3657,2016.2,2.6446,2016.21,0.0029,2016.25,0.0106,2016.27,0.0026,2016.28,0.0026,2016.29,6.8253,2016.3,3.6471,2016.31,0.0055,2016.33,0.025,2016.34,0.0025,2016.35,0.0029,2016.36,1.0025,2016.39,0.64,2016.4,6.4641,2016.41,0.0025,2016.43,2.4001,2016.44,0.005
2025-03-09 18:16:19.953870,2016.025,-0.006943876121243682,2016.02,0.0217,2016.01,0.0112,2016.0,0.0152,2015.99,0.0026,2015.98,0.008,2015.97,0.686,2015.95,1.3987,2015.93,0.0052,2015.9,0.1495,2015.87,0.0049,2015.85,0.0099,2015.81,1.1844,2015.79,0.0026,2015.74,0.0038,2015.73,1.3961,2015.71,0.005,2015.7,12.0719,2015.69,14.8686,2015.67,4.9301,2015.66,0.005,2016.03,80.3233,2016.05,0.0051,2016.1,2.6445,2016.11,7.5798,2016.12,2.6431,2016.13,1.0106,2016.16,29.0183,2016.17,16.7246,2016.18,0.0051,2016.19,1.3627,2016.2,2.6471,2016.21,0.0026,2016.24,0.0052,2016.25,0.0029,2016.29,6.8227,2016.3,3.6495,2016.32,0.025,2016.36,1.0,2016.39,0.64,2016.4,8.5098
2025-03-09 18:16:20.053947,2015.975,-0.002480127974612512,2015.97,6.2238,2015.96,0.0172,2015.95,1.4017,2015.93,0.0052,2015.9,0.1495,2015.87,0.0049,2015.85,0.0099,2015.82,0.006,2015.81,1.1844,2015.79,0.0026,2015.73,1.3936,2015.71,3.7802,2015.7,0.0025,2015.67,0.01,2015.66,0.005,2015.62,0.0052,2015.6,2.1832,2015.58,0.0026,2015.56,2.0745,2015.55,6.8602,2015.98,76.6843,2015.99,0.2714,2016.0,5.037,2016.01,7.5823,2016.02,30.7043,2016.03,12.0821,2016.05,0.0026,2016.06,0.0055,2016.09,0.0029,2016.1,2.6471,2016.11,0.0026,2016.12,0.0026,2016.13,1.0025,2016.15,28.9449,2016.17,1.4087,2016.19,1.0079,2016.2,2.6483,2016.23,0.005,2016.24,0.0052,2016.28,3.2427
